,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
126,2022,2,1,1,12,1,2,6,2,3,2000.654,28009.153,2638963.222,2
127,2022,2,1,1,12,1,2,7,1,2,1503.309,10523.165,714071.935,1
128,2022,2,1,1,12,1,2,7,1,3,2000.654,28009.153,1810132.188,2
129,2022,2,1,1,12,2,1,4,1,2,458.437,3209.059,142573.915,1
130,2022,2,1,1,12,2,1,5,1,2,609.519,3047.594,1980935.983,1
131,2022,2,1,1,12,2,1,6,1,1,2365.725,7097.176,189258.034,1
132,2022,2,1,1,12,2,1,6,1,2,1404.163,11233.307,631873.506,1
133,2022,2,1,1,12,4,1,1,1,1,561.400,1122.800,70175.006,1
134,2022,2,1,1,12,4,1,1,1,3,609.519,15847.488,243807.506,1
135,2022,2,1,1,12,4,1,1,2,1,609.519,1828.556,20114.119,1
136,2022,2,1,1,12,4,1,1,2,4,561.400,21894.602,224560.02,1
137,2022,2,1,1,12,4,1,2,1,2,2927.125,20489.878,1615925.275,2
138,2022,2,1,1,12,4,1,2,1,3,1067.956,17389.456,427182.316,2
139,2022,2,1,1,12,4,1,2,2,1,561.400,1122.800,56140.005,1
140,2022,2,1,1,12,4,1,2,2,2,1581.237,8467.586,101052.009,3
141,2022,2,1,1,12,4,1,2,2,3,1675.359,36841.161,0.0,2
142,2022,2,1,1,12,4,1,2,2,4,866.581,37262.986,0.0,1
143,2022,2,1,1,12,4,1,3,1,1,561.400,1122.800,42105.004,1
144,2022,2,1,1,12,4,1,3,1,2,6485.474,60634.843,1473595.309,8
145,2022,2,1,1,12,4,1,3,1,3,4299.198,77905.763,2341272.024,5
146,2022,2,1,1,12,4,1,3,2,1,609.519,1219.038,243807.506,1
147,2022,2,1,1,12,4,1,3,2,2,2142.637,17244.060,598300.793,4
148,2022,2,1,1,12,4,1,3,2,3,2471.367,34599.143,849082.953,3
149,2022,2,1,1,12,4,1,4,1,2,1732.319,17836.470,1499737.552,3
150,2022,2,1,1,12,4,1,4,1,3,609.519,14018.932,0.0,1
151,2022,2,1,1,12,4,1,4,1,4,2063.473,78426.983,1200156.396,2
152,2022,2,1,1,12,4,1,4,2,3,1257.333,20765.140,657227.608,2
153,2022,2,1,1,12,4,1,5,1,1,2840.196,7276.031,284019.6,2
154,2022,2,1,1,12,4,1,5,1,2,6038.039,44230.158,1014236.883,5
155,2022,2,1,1,12,4,1,5,2,0,561.400,0.000,11228.001,1
156,2022,2,1,1,12,4,1,5,2,2,458.437,3209.059,76558.983,1
157,2022,2,1,1,12,4,1,5,2,3,609.519,8533.263,609518.764,1
158,2022,2,1,1,12,4,1,6,1,2,796.009,5572.060,398004.316,1
159,2022,2,1,1,12,4,1,6,2,3,561.400,9543.801,280700.025,1
160,2022,2,1,1,12,4,1,7,1,1,561.400,1684.200,898240.078,1
161,2022,2,1,1,12,5,1,2,1,1,609.519,1828.556,182855.629,1
162,2022,2,1,1,12,5,1,3,1,5,561.400,96560.808,7070272.217,1
163,2022,2,1,1,12,5,1,4,2,2,1102.325,8818.597,551162.326,1
164,2022,2,1,1,12,5,1,4,2,3,458.437,9168.741,343827.769,1
165,2022,2,1,1,12,5,1,7,2,3,561.400,8421.001,210525.018,1
166,2022,2,1,1,13,1,1,1,1,1,1102.325,2204.649,727534.27,1
167,2022,2,1,1,13,1,1,1,1,2,3306.974,33069.740,1865133.31,3
168,2022,2,1,1,13,1,1,2,1,2,6868.082,36682.000,4491964.872,8
169,2022,2,1,1,13,1,1,2,2,1,1102.325,1102.325,110232.465,1
170,2022,2,1,1,13,1,1,2,2,2,6030.370,41143.696,4649698.598,5
171,2022,2,1,1,13,1,1,2,2,3,6061.927,112220.436,6674838.686,2
172,2022,2,1,1,13,1,1,3,1,1,5738.320,17214.960,3716642.646,3
173,2022,2,1,1,13,1,1,3,1,2,10147.869,59691.414,10993703.394,9
174,2022,2,1,1,13,1,1,3,2,1,1852.036,5556.108,926017.977,1
175,2022,2,1,1,13,1,1,3,2,2,24218.063,154894.455,17731644.022,14
176,2022,2,1,1,13,1,1,4,1,1,2937.506,8812.518,1205769.888,2
177,2022,2,1,1,13,1,1,4,1,2,12919.602,93300.989,8276940.822,9
178,2022,2,1,1,13,1,1,4,1,3,1813.882,25394.342,2267351.922,1
179,2022,2,1,1,13,1,1,4,2,2,10418.180,79196.865,7931857.751,8
180,2022,2,1,1,13,1,1,5,1,1,577.394,1154.787,57739.353,1
181,2022,2,1,1,13,1,1,5,1,2,7940.266,56441.454,3954417.816,7
182,2022,2,1,1,13,1,1,5,2,1,2154.362,6463.085,1149046.943,2
183,2022,2,1,1,13,1,1,5,2,2,3035.196,12140.782,1730559.089,3
184,2022,2,1,1,13,1,1,6,1,2,4770.236,36389.178,4362354.912,4
185,2022,2,1,1,13,1,1,6,1,3,561.400,8982.401,112280.01,1
186,2022,2,1,1,13,1,1,6,2,2,13662.271,86302.019,10662018.27,11
187,2022,2,1,1,13,1,1,7,1,2,5548.238,53622.471,1295638.149,2
188,2022,2,1,1,13,1,1,7,1,3,3541.947,75449.771,4329250.387,3
189,2022,2,1,1,13,1,1,7,2,2,7057.567,39907.726,5393485.988,5
190,2022,2,1,1,13,1,1,9,1,2,2146.579,15673.864,1875670.988,3
191,2022,2,1,1,13,1,1,9,9,2,577.394,3464.361,475772.272,1
192,2022,2,1,1,13,1,2,1,1,2,1102.325,7716.273,558878.598,1
193,2022,2,1,1,13,1,2,2,1,2,2060.164,11423.622,1103712.22,3
194,2022,2,1,1,13,1,2,2,1,3,922.482,12914.744,1101443.189,1
195,2022,2,1,1,13,1,2,2,2,2,3962.898,29988.431,5016866.81,3
196,2022,2,1,1,13,1,2,3,1,1,940.625,2821.874,130746.825,1
197,2022,2,1,1,13,1,2,3,1,2,4975.205,34826.432,7803091.493,4
198,2022,2,1,1,13,1,2,3,2,2,6904.895,43112.801,6937211.326,4
199,2022,2,1,1,13,1,2,3,2,3,1852.036,25928.503,4876410.665,1
200,2022,2,1,1,13,1,2,4,1,1,561.400,1684.200,346945.23,1
201,2022,2,1,1,13,1,2,4,1,2,13543.425,77436.380,9567294.878,6
